,age,taille,poids,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret
0,73,161.1,67.3,857,0.11,1377.97,13157.101646368172
1,44,168.2,74.9,5245,0.79,10000.0,32408.309271881208
2,71,160.3,45.5,3792,0.13,5000.0,17975.461375021725
3,62,161.9,87.7,3291,0.32,10000.0,16004.737730594868
4,18,178.0,77.6,3893,0.66,,10437.682759868923
5,65,179.5,61.5,2577,0.58,5000.0,500.0
6,22,170.8,60.9,714,0.46,699.57,500.0
7,54,170.0,61.3,2629,0.22,10000.0,500.0
8,61,175.2,58.5,1572,0.85,5000.0,4494.300952230585
9,28,161.6,81.2,500,0.66,10000.0,500.0
10,28,181.8,81.1,2847,0.37,518.38,22788.001263240207
11,24,169.1,68.1,3440,0.14,,18070.091787237645
12,42,170.2,53.4,4508,0.33,831.36,8464.616164954017
13,53,158.2,84.3,885,0.48,5000.0,12373.56023523041
14,57,158.9,57.3,3114,0.5,10000.0,20050.690685912497
15,22,155.5,85.0,1501,0.1,10000.0,16303.54507463377
16,45,188.0,87.6,1840,0.52,596.0,500.0
17,37,164.6,95.1,2050,0.5,,500.0
18,35,170.6,83.3,3911,0.67,,500.0
19,34,157.9,73.9,3821,0.04,1141.89,500.0
20,29,165.3,79.0,500,0.5,925.87,17137.888522770147
21,24,169.4,58.2,3269,0.45,,500.0
22,74,155.1,65.4,500,0.22,,500.0
23,53,181.7,56.7,2802,0.01,5000.0,21691.867312082977
24,58,181.7,59.0,832,0.51,,23167.904430812967
25,32,167.1,76.5,4635,0.8,10000.0,1986.2237285384024
26,51,152.9,70.6,500,0.96,10000.0,500.0
27,22,170.3,84.1,900,0.14,,500.0
28,58,172.7,76.4,3853,0.4,10000.0,500.0
29,49,174.6,70.0,2203,0.8,866.27,16750.901381517804
30,66,156.9,73.7,1672,0.12,,500.0
31,71,169.5,63.8,2267,0.12,10000.0,27822.25265661032
32,44,166.2,56.4,2350,0.08,10000.0,12238.402238366429
33,28,180.5,73.1,2182,0.02,10000.0,18547.59442206578
34,33,184.1,68.2,923,0.57,,500.0
35,46,180.0,80.4,2214,0.86,10000.0,500.0
36,52,166.9,66.4,1959,0.5,5000.0,500.0
37,30,184.7,82.7,2687,0.65,5000.0,500.0
38,27,183.9,60.6,1788,0.9,10000.0,500.0
39,38,182.2,92.7,2125,0.93,10000.0,500.0
40,24,172.9,42.6,1389,0.6,793.17,1366.7152302536567
41,31,151.7,72.7,2850,0.89,10000.0,500.0
42,30,153.3,66.0,1809,0.28,5000.0,500.0
43,24,171.2,80.3,4370,0.15,10000.0,7915.101090898372
44,20,161.2,37.6,4778,0.4,,28396.908742389693
45,72,171.5,97.1,725,0.8,10000.0,18632.93584235897
46,19,169.3,79.9,2124,0.53,5000.0,500.0
47,49,160.0,72.3,3422,0.6,,14326.37709078331
48,47,188.7,73.5,3838,0.5,5000.0,500.0
49,29,167.4,70.9,660,0.64,,500.0
50,64,169.6,60.7,2071,0.6,10000.0,16528.519173978777
51,75,178.4,54.2,2714,0.88,10000.0,4704.9737016730005
52,39,190.1,82.8,2783,0.83,577.66,12733.330382969947
53,60,162.6,77.6,1788,0.56,5000.0,10540.674784050036
54,31,181.1,69.4,2600,0.98,5000.0,6156.501558240514
55,26,159.7,99.5,3008,0.05,,500.0
56,28,160.2,92.5,500,0.4,5000.0,500.0
57,21,168.4,71.1,3695,0.17,5000.0,22775.8955135935
58,70,172.9,70.9,3304,0.28,5000.0,8853.723228062805
59,42,185.9,57.8,897,0.05,5000.0,11778.343548052928
60,62,184.7,67.1,4278,0.7,10000.0,31072.702663736723
61,37,181.5,91.8,3072,0.56,,21531.409941811824
62,34,174.5,75.3,2537,0.97,10000.0,500.0
63,37,164.1,74.1,4525,0.81,949.24,10946.391315339892
64,30,163.1,84.3,1295,0.52,,500.0
65,75,176.9,66.4,1859,0.02,547.03,500.0
66,34,181.6,66.8,1566,0.28,,1992.4825524566772
67,55,172.2,91.8,3929,0.4,,15002.912094814255
68,32,143.5,82.1,3770,0.4,,500.0
69,71,175.2,71.9,4747,0.12,5000.0,500.0
70,44,168.8,56.1,3214,0.82,,10488.968596578909
71,70,169.1,75.5,4602,0.36,,28770.26971420019
72,60,165.9,67.6,3203,0.12,944.44,500.0
73,70,165.1,77.1,3865,0.52,1128.66,37282.162849122215
74,54,180.3,75.4,1851,0.67,348.33,10767.439217607673
